time,open,high,low,close,volume,tick_volume,real_volume,spread,symbol,timeframe,data_source,analysis_volume,volume_is_proxy,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,return_1,log_return_1,range_pct,body_pct,upper_wick_pct,lower_wick_pct,ema_20,ema_50,sma_50,sma_200,atr_pct,close_zscore_20,rolling_high_20,rolling_low_20,ema_20_over_50,realized_vol_20,realized_vol_60,distance_to_20_high_pct,distance_to_20_low_pct,pivot_point,pivot_support_1,pivot_resistance_1,pivot_support_2,pivot_resistance_2,fib_236_20,fib_382_20,fib_500_20,fib_618_20,trend_regime,trend_strength_regime
2026-04-03 03:00:00+00:00,1.1539349555969238,1.154068112373352,1.1538017988204956,1.1539349555969238,0,,,,EURUSD,1h,yfinance,230.78731740012404,True,0.0,230.78731740012404,,,,,,,,1000.0,,,,,,0.0,0.0,,1.1542012691497803,1.1536686420440674,,0.5,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.1539349555969238,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.00023078731740012404,0.0,0.00011539365870006202,0.00011539365870006202,1.1539349555969238,1.1539349555969238,,,0.0,,,,0.0,,,,,,,,,,,,,,neutral,ranging
2026-04-03 04:00:00+00:00,1.1539349555969238,1.1539349555969238,1.1538017988204956,1.1538017988204956,0,,,,EURUSD,1h,yfinance,230.80063463331263,True,-230.80063463331263,-0.013317233188587352,,,-0.0038411348255011487,,-0.026632929660633294,,,1000.0,,,,,,0.0,0.0,,1.1540903051694236,1.153690834840139,,0.2777777777774072,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.1539349555969238,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.011539365870005813,-0.011540031706053222,-0.011539365870005813,-0.00011539365870005813,-0.00011540031706051887,0.00011540697593325447,0.00011540697593325447,0.0,0.0,1.1539222739991688,1.153929733762554,,,0.0,,,,-6.46465999354362e-06,,,,,1.1539349555969238,1.1538017988204956,1.154068112373352,1.1536686420440674,1.1542012691497803,,,,,bearish,ranging
2026-04-03 05:00:00+00:00,1.1538017988204956,1.1542012691497803,1.1532695293426514,1.1542012691497803,0,,,,EURUSD,1h,yfinance,1153.4803131713322,True,922.6796785380196,1153.4669959381436,,,-0.010741480345322064,,0.37272609456433725,,,1000.0,,,,,,0.0,0.0,,1.1543343464533489,1.153446873029073,,0.8500492522610682,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.1537353992462158,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,,1.154068112373352,0.0,1.0,,,,,,,,,,,,,,,,,,,0.034622092779978964,0.034616100716447495,0.023078731740011627,0.00034622092779978964,0.000346161007164486,0.0008072593853715428,0.00034610110035568576,0.0,0.00046115828501585703,1.1539488449658937,1.1539403822091119,,,0.0,,,,7.333790299934861e-06,,,,,1.1538461844126384,1.153757413228353,1.1538905700047812,1.1537130276362102,1.1539793411890666,,,,,bullish,ranging
2026-04-03 06:00:00+00:00,1.154068112373352,1.154334545135498,1.1538017988204956,1.154334545135498,0,,,,EURUSD,1h,yfinance,576.988441476606,True,1499.6681200146256,1730.4554374147497,,,0.030725649570367462,,0.4393511324506122,,,1000.1154703163824,,,,,,0.0,0.0,,1.1544231871763866,1.1534912089506786,,0.904888291975703,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.1538020372390747,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,1.1532695293426514,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.011547031638237115,0.011546365019862725,0.034628428286720414,0.00011547031638237115,0.00011546365019854773,0.0004615181250942348,0.00023081069805003688,0.0,0.00023070742704419794,1.1539855783153798,1.1539558395787741,,,0.0,,,,2.5771121897166793e-05,,,,,1.1538906892140706,1.1535801092783609,1.1545118490854898,1.1529589494069417,1.1548224290211995,,,,,bullish,ranging
2026-04-03 07:00:00+00:00,1.154334545135498,1.155001163482666,1.154334545135498,1.1546010971069336,0,,,,EURUSD,1h,yfinance,808.2721136465791,True,1337.7824320167415,2538.727551061329,,,0.04945849765499279,,0.6259924542899823,,,1000.1154703163824,,,,,,0.0,0.0,,1.1546009937922161,1.1535887638727824,,1.0001020664529514,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.1541353464126587,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,1.1532695293426514,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.023091396905594586,0.023088731252882133,0.057727821380115785,0.00023091396905594586,0.0002308873125288906,0.0005773581445906332,0.0002308606601045522,0.00034649748448608105,0.0,1.1540441991526706,1.1539811437955647,,,0.0,,,,5.464158356915938e-05,,,,,1.1541569630304973,1.1539793809254966,1.154512127240499,1.1536242167154949,1.1546897093454997,,,,,bullish,ranging
2026-04-03 08:00:00+00:00,1.1546010971069336,1.1548677682876587,1.154334545135498,1.1546010971069336,0,,,,EURUSD,1h,yfinance,461.8245673737308,True,1337.6791848521152,3000.55211843506,,,-0.007700911925212494,,0.6259924542899823,,,1000.1154703163824,,,,,,0.0,0.0,,1.154689888159434,1.1536686221758525,,0.9130578576708352,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.1541353464126587,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,1.1533387947082518,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.057727821380115785,0.0,0.0,0.0004618245673737308,0.0,0.00023096390726917859,0.0002308606601045522,1.1540972370530767,1.1540054556901282,,,0.0,,,,7.953286745387977e-05,,,,,1.154645601908366,1.154290040334066,1.1549566586812339,1.153978983561198,1.155312220255534,,,,,bullish,ranging
2026-04-03 09:00:00+00:00,1.1547343730926514,1.1548677682876587,1.1544678211212158,1.1546010971069336,0,,,,EURUSD,1h,yfinance,346.3942373214547,True,1222.1456076352129,3346.9463557565145,,,0.007694029966387461,,0.6259924542899823,,,1000.1154703163824,,,,,,0.0,0.0,,1.1547406911849976,1.153751049722944,,0.8589447962555111,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.1541353464126587,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,1.1534052894592284,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.057727821380115785,0.0,0.0,0.0003463942373214547,0.0001154303300522761,0.00011553357721690247,0.0001154303300522761,1.1541452237248726,1.1540288141770618,,,0.0,,,,0.0001008723061164396,,,,,1.1546011368433635,1.1543345053990683,1.154867728551229,1.1540679136912029,1.1551343599955242,,,,,bullish,ranging
2026-04-03 10:00:00+00:00,1.1547343730926514,1.1551345586776733,1.1546010971069336,1.1548677682876587,0,,,,EURUSD,1h,yfinance,692.8882811140256,True,1221.9907722651315,4039.83463687054,,,0.015400753845572226,,0.7860246389971786,,,1000.1154703163824,,,,,,0.0,0.0,,1.1548232634862265,1.1538239618142447,,1.0445359021003957,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.1542020440101624,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,1.1534691244201658,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.023096390726928817,0.023093723921210896,0.08083754515022523,0.00023096390726928817,0.0002309372392122177,0.00046192437384473745,0.00011550689929212541,0.00023101379858425083,0.00011540367596836122,1.154214037492757,1.1540617143382617,,,0.0,,,,0.00013198874254549686,,,,,1.154645562171936,1.1544233560562134,1.1548233032226562,1.1542456150054932,1.155045509338379,,,,,bullish,ranging
2026-04-03 11:00:00+00:00,1.1548677682876587,1.155001163482666,1.1544678211212158,1.1547343730926514,0,,,,EURUSD,1h,yfinance,577.3813995044277,True,1221.732667035134,3462.4532373661123,,,-0.012316558637038733,,0.7193331038315046,,,999.9999500794721,,,,,,0.0,0.0,,1.1548726558685303,1.1538658671908908,,0.8626496513616697,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,1.1542020440101624,,,1.1542020440101624,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,1.1535690504756162,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.01155068992920727,-0.011551357072775437,0.06927751792682457,-0.0001155068992920727,-0.0001155135707277009,0.0004618745002123549,0.00011552024267716252,0.00011552024267716252,0.00023083401485802987,1.1542635932641754,1.1540880931129436,,,0.0,,,,0.00015206824529179208,,,,,1.1548678080240886,1.154601057370504,1.1551345189412436,1.1543343464533489,1.1554012695948284,,,,,bullish,ranging
2026-04-03 12:00:00+00:00,1.1548677682876587,1.1548677682876587,1.1526048183441162,1.15340256690979,0,,,,EURUSD,1h,yfinance,3115.3217433046875,True,302.87440223173394,347.13149406142475,,,-0.07250854085901487,,-2.8737051359702903,,,999.9999500794721,,,,,,0.0,0.0,1.1542948404947917,1.1549741903940838,1.1536154905954998,0.11770821032185586,-0.15671135443731643,0.0,1.0,,,,,,0.0006793498992919922,,,,,,,,,,,,,,,,,,1.1538696885108948,,,1.1538696885108948,,0.0,0.0,0.0,,1.1715122537179428,1.1688384673992793,,,,,1.1551345586776733,0.0,1.0,,,,,,,,,,,,,,,,,,1.15340256690979,-0.11533441923049503,-0.11540098055545789,-0.04613680212662841,-0.0011533441923049503,-0.001154009805554582,0.0019619775509997373,0.0012703295622050134,0.0,0.0006916479887947238,1.1541815907542339,1.1540612097324279,,,0.0005889963476603963,,,,0.00010431077727135474,,,,,1.154734452565511,1.154467741648356,1.1550010840098062,1.1542011102040608,1.1552677949269612,,,,,bullish,ranging
